id_municipio;nome_municipio;pib_2019;pib_2020;pib_2021;pib_2022;pib_2023
5201405;Aparecida de Goiânia (GO);13750610;14327746;16981188;19197776;20888937
5201454;Aparecida do Rio Doce (GO);84998;94778;110094;133888;151337
5201504;Aporé (GO);316352;309730;395754;574539;518582
5201603;Araçu (GO);58683;68603;73510;79947;87232
5201702;Aragarças (GO);243389;258360;277756;316671;360573
5201801;Aragoiânia (GO);133667;150972;174344;215373;237889
5202155;Araguapaz (GO);127967;147259;180146;220784;252818
5202353;Arenópolis (GO);131762;177253;222600;244357;268947
5202502;Aruanã (GO);202037;231231;291985;353549;379921
5202601;Aurilândia (GO);67550;72934;81585;88517;111363
5202809;Avelinópolis (GO);50449;58621;68067;86600;83608
5203104;Baliza (GO);82038;95226;123257;140014;175462
5203203;Barro Alto (GO);1095113;1524944;1573641;2308283;1686187
5203302;Bela Vista de Goiás (GO);1129706;1324592;1481064;1776808;1983166
5203401;Bom Jardim de Goiás (GO);187131;196445;257679;370231;418166
5203500;Bom Jesus de Goiás (GO);837618;983146;1229697;1694252;1512295
5203559;Bonfinópolis (GO);103893;108015;121159;135489;158520
5203575;Bonópolis (GO);99573;114207;156648;320198;282294
5203609;Brazabrantes (GO);67505;83270;93847;100987;106412
5203807;Britânia (GO);127243;159553;198125;249704;305497
5203906;Buriti Alegre (GO);321306;379436;467748;543167;561621
5203939;Buriti de Goiás (GO);47830;49178;56930;63515;78971
5203962;Buritinópolis (GO);77578;84624;88916;87658;68010
5204003;Cabeceiras (GO);258179;314072;475971;582979;484328
5204102;Cachoeira Alta (GO);289888;291673;281720;336768;365150
5204201;Cachoeira de Goiás (GO);30524;34047;38880;40830;45522
5204250;Cachoeira Dourada (GO);823278;414065;69505;987682;890576
5204300;Caçu (GO);816501;912048;912901;997750;1219984
5204409;Caiapônia (GO);498419;575956;821715;1026342;1456338
5204508;Caldas Novas (GO);2742762;2474884;3001268;3407345;3782024
5204557;Caldazinha (GO);75014;75697;84657;93321;103502
5204607;Campestre de Goiás (GO);60107;61005;72754;78141;78260
5204656;Campinaçu (GO);67811;77184;110528;122480;135965
5204706;Campinorte (GO);262139;293969;333043;402543;422671
5204805;Campo Alegre de Goiás (GO);423438;592166;846766;898585;964885
5204854;Campo Limpo de Goiás (GO);121961;144775;165123;190040;237751
5204904;Campos Belos (GO);293914;290688;315342;365495;404844
5204953;Campos Verdes (GO);49707;50572;56359;71228;80964
5205000;Carmo do Rio Verde (GO);361140;378379;488110;656878;543627
5205059;Castelândia (GO);103881;108462;91630;111743;140321
5205109;Catalão (GO);6867082;7307787;9916890;11139337;10345993
5205208;Caturaí (GO);73322;78558;100787;109160;126676
5205307;Cavalcante (GO);292123;452687;383048;368132;373219
5205406;Ceres (GO);648462;664404;734719;846104;986057
5205455;Cezarina (GO);297577;335444;385020;529151;533170
5205471;Chapadão do Céu (GO);1365276;1844756;2188780;3144083;2486006
